qwertyyu | 20
qwertyuiop | 6
olegs | 6
olegs | 5 | 1
olegs | Speles laiks 12 | Speles limenis easy
olegs | Speles laiks 47 | Speles limenis medium
olegs | Speles laiks 0 | Speles limenis medium
olegs | Speles laiks 18 | Speles limenis latvietis
olegs | Speles laiks 0 | Speles limenis latvietis
olegs | Speles laiks 19 | Speles limenis medium
olegs | Speles laiks 48 | Speles limenis medium
olegs | Speles laiks 50 | Speles limenis easy
ole | Speles laiks 12 | Speles limenis easy
ole | Speles laiks 22 | Speles limenis easy
ole | Speles laiks 0 | Speles limenis easy
ole | Speles laiks 3 | Speles limenis easy
ole | Speles laiks 25 | Speles limenis easy
eds | Speles laiks 11 | Speles limenis easy
e | Speles laiks 0 | Speles limenis temp
e | Speles laiks 0 | Speles limenis temp
e | Speles laiks 0 | Speles limenis temp
e | Speles laiks 0 | Speles limenis temp
e | Speles laiks 0 | Speles limenis temp
e | Speles laiks 0 | Speles limenis temp
e | Speles laiks 0 | Speles limenis temp
